tweet_id	tweet_datetime	tweet_unixtime	artist_name	track_title	country
5	2012-02-09 00:44:13	1328744653	Justin Timberlake	4 Minutes	BR
10	2012-02-09 00:45:11	1328744711	Allman Brothers Band	Stand Back	CA
4	2012-07-30 14:03:43	1343649823	Carly Rae Jepsen	Call Me Maybe	FR
1	2012-02-09 00:43:00	1328744580	Anonymous 4	Agnus dei	GB
3	2012-03-29 02:21:01	1332980461	Van Morrison	Hey Mr DJ	GB
7	2012-07-30 14:06:33	1343649993	Maria Carey	Love Takes Time	NG
6	2012-02-09 00:44:30	1328744670	Avant	When It Hurts	US
2	2012-02-09 00:43:32	1328744612	Drake	Find Your Love	US
9	2012-02-09 00:45:09	1328744709	Of Mice & Men	Purified	US
8	2012-03-29 02:21:45	1332980505	Tyga	Far Away	US
